1		19
2		19
3		19
4		19
5		19
6		19
7		19
8		19
9		19
10		19
12		19
14		19
16		19
18		19
20		19
23		19
26		19
29		19
32		19
35		19
38		19
41		19
44		19
47		19
the result is: 19
1		20
2		20
3		20
4		20
5		20
6		20
7		20
8		20
9		20
10		20
12		20
14		20
16		20
18		20
the result is: 20
1		19
2		19
3		19
4		19
5		19
6		19
7		19
8		19
9		19
10		19
12		19
14		19
16		19
18		19
the result is: 19
1		19
2		19
3		19
4		19
5		19
6		19
7		19
8		19
9		19
10		19
12		19
14		19
16		19
18		19
the result is: 19
1		18
2		18
3		18
4		18
5		18
6		18
7		18
8		18
9		18
10		18
12		18
14		18
16		18
18		18
the result is: 18
1		36
2		36
3		36
4		36
5		36
6		36
7		36
8		36
9		36
10		36
12		36
14		36
16		36
18		36
the result is: 36
1		35
2		35
3		35
4		35
5		35
6		35
7		35
8		35
9		35
10		35
12		35
14		35
16		35
18		35
the result is: 35
1		36
2		36
3		36
4		36
5		36
6		36
7		36
8		36
9		36
10		36
12		36
14		36
16		36
18		36
the result is: 36
1		34
2		34
3		34
4		34
5		34
6		34
7		34
8		34
9		34
10		34
12		34
14		34
16		34
18		34
the result is: 34
1		34
2		34
3		34
4		34
5		34
6		34
7		34
8		34
9		34
10		34
12		34
14		34
16		34
18		34
1		34
2		34
3		34
4		34
5		34
6		34
7		34
8		34
9		34
10		34
12		34
14		34
16		34
18		34
the result is: 34
1		33
2		33
3		33
4		33
5		33
6		33
7		33
8		33
9		33
10		33
12		33
14		33
16		33
18		33
the result is: 33
1		37
2		37
3		37
4		37
5		37
6		37
7		37
8		37
9		37
10		37
12		37
14		37
16		37
18		37
the result is: 37
